S_idx,u,v,T_idx
0,0,0,0
0,0,1,0
0,0,2,0
0,0,3,0
0,0,4,0
0,1,0,0
0,1,1,0
0,1,2,0
0,1,3,0
0,1,4,0
0,2,0,0
0,2,1,0
0,2,2,0
0,2,3,0
0,2,4,0
0,3,0,0
0,3,1,0
0,3,2,0
0,3,3,0
0,3,4,0
0,4,0,0
0,4,1,0
0,4,2,0
0,4,3,0
0,4,4,0
1,0,0,1
1,0,1,2
1,0,2,8
1,0,3,28
1,0,4,16
1,1,0,0
1,1,1,1
1,1,2,1
1,1,3,1
1,1,4,1
1,2,0,0
1,2,1,1
1,2,2,1
1,2,3,1
1,2,4,1
1,3,0,0
1,3,1,1
1,3,2,1
1,3,3,1
1,3,4,1
1,4,0,0
1,4,1,1
1,4,2,1
1,4,3,1
1,4,4,1
2,0,0,2
2,0,1,2
2,0,2,5
2,0,3,25
2,0,4,19
2,1,0,2
2,1,1,2
2,1,2,5
2,1,3,25
2,1,4,19
2,2,0,3
2,2,1,1
2,2,2,2
2,2,3,2
2,2,4,2
2,3,0,3
2,3,1,1
2,3,2,2
2,3,3,2
2,3,4,2
2,4,0,3
2,4,1,1
2,4,2,2
2,4,3,2
2,4,4,2
3,0,0,3
3,0,1,0
3,0,2,3
3,0,3,3
3,0,4,3
3,1,0,2
3,1,1,3
3,1,2,6
3,1,3,26
3,1,4,18
3,2,0,3
3,2,1,0
3,2,2,3
3,2,3,3
3,2,4,3
3,3,0,3
3,3,1,0
3,3,2,3
3,3,3,3
3,3,4,3
3,4,0,3
3,4,1,0
3,4,2,3
3,4,3,3
3,4,4,3
4,0,0,4
4,0,1,2
4,0,2,12
4,0,3,32
4,0,4,23
4,1,0,2
4,1,1,4
4,1,2,7
4,1,3,27
4,1,4,20
4,2,0,3
4,2,1,1
4,2,2,4
4,2,3,4
4,2,4,4
4,3,0,3
4,3,1,1
4,3,2,4
4,3,3,4
4,3,4,4
4,4,0,3
4,4,1,1
4,4,2,4
4,4,3,4
4,4,4,4
5,0,0,5
5,0,1,5
5,0,2,5
5,0,3,15
5,0,4,29
5,1,0,5
5,1,1,5
5,1,2,5
5,1,3,15
5,1,4,29
5,2,0,5
5,2,1,5
5,2,2,5
5,2,3,15
5,2,4,29
5,3,0,6
5,3,1,8
5,3,2,2
5,3,3,5
5,3,4,5
5,4,0,6
5,4,1,8
5,4,2,2
5,4,3,5
5,4,4,5
6,0,0,6
6,0,1,9
6,0,2,3
6,0,3,6
6,0,4,6
6,1,0,5
6,1,1,6
6,1,2,6
6,1,3,16
6,1,4,28
6,2,0,5
6,2,1,6
6,2,2,6
6,2,3,16
6,2,4,28
6,3,0,6
6,3,1,9
6,3,2,3
6,3,3,6
6,3,4,6
6,4,0,6
6,4,1,9
6,4,2,3
6,4,3,6
6,4,4,6
7,0,0,7
7,0,1,11
7,0,2,12
7,0,3,36
7,0,4,37
7,1,0,5
7,1,1,7
7,1,2,7
7,1,3,17
7,1,4,30
7,2,0,5
7,2,1,7
7,2,2,7
7,2,3,17
7,2,4,30
7,3,0,6
7,3,1,10
7,3,2,4
7,3,3,7
7,3,4,7
7,4,0,6
7,4,1,10
7,4,2,4
7,4,3,7
7,4,4,7
8,0,0,8
8,0,1,5
8,0,2,8
8,0,3,18
8,0,4,26
8,1,0,9
8,1,1,8
8,1,2,1
8,1,3,8
8,1,4,8
8,2,0,8
8,2,1,5
8,2,2,8
8,2,3,18
8,2,4,26
8,3,0,9
8,3,1,8
8,3,2,1
8,3,3,8
8,3,4,8
8,4,0,9
8,4,1,8
8,4,2,1
8,4,3,8
8,4,4,8
9,0,0,9
9,0,1,9
9,0,2,0
9,0,3,9
9,0,4,9
9,1,0,9
9,1,1,9
9,1,2,0
9,1,3,9
9,1,4,9
9,2,0,8
9,2,1,6
9,2,2,9
9,2,3,19
9,2,4,25
9,3,0,9
9,3,1,9
9,3,2,0
9,3,3,9
9,3,4,9
9,4,0,9
9,4,1,9
9,4,2,0
9,4,3,9
9,4,4,9
10,0,0,10
10,0,1,11
10,0,2,8
10,0,3,44
10,0,4,41
10,1,0,9
10,1,1,10
10,1,2,1
10,1,3,10
10,1,4,10
10,2,0,8
10,2,1,7
10,2,2,10
10,2,3,20
10,2,4,27
10,3,0,9
10,3,1,10
10,3,2,1
10,3,3,10
10,3,4,10
10,4,0,9
10,4,1,10
10,4,2,1
10,4,3,10
10,4,4,10
11,0,0,11
11,0,1,11
11,0,2,5
11,0,3,40
11,0,4,45
11,1,0,11
11,1,1,11
11,1,2,5
11,1,3,40
11,1,4,45
11,2,0,12
11,2,1,7
11,2,2,11
11,2,3,21
11,2,4,31
11,3,0,13
11,3,1,10
11,3,2,2
11,3,3,11
11,3,4,11
11,4,0,13
11,4,1,10
11,4,2,2
11,4,3,11
11,4,4,11
12,0,0,12
12,0,1,5
12,0,2,12
12,0,3,22
12,0,4,33
12,1,0,11
12,1,1,12
12,1,2,7
12,1,3,39
12,1,4,43
12,2,0,12
12,2,1,5
12,2,2,12
12,2,3,22
12,2,4,33
12,3,0,13
12,3,1,8
12,3,2,4
12,3,3,12
12,3,4,12
12,4,0,13
12,4,1,8
12,4,2,4
12,4,3,12
12,4,4,12
13,0,0,13
13,0,1,9
13,0,2,3
13,0,3,13
13,0,4,13
13,1,0,11
13,1,1,13
13,1,2,6
13,1,3,41
13,1,4,44
13,2,0,12
13,2,1,6
13,2,2,13
13,2,3,23
13,2,4,32
13,3,0,13
13,3,1,9
13,3,2,3
13,3,3,13
13,3,4,13
13,4,0,13
13,4,1,9
13,4,2,3
13,4,3,13
13,4,4,13
14,0,0,14
14,0,1,11
14,0,2,12
14,0,3,49
14,0,4,50
14,1,0,11
14,1,1,14
14,1,2,7
14,1,3,42
14,1,4,46
14,2,0,12
14,2,1,7
14,2,2,14
14,2,3,24
14,2,4,34
14,3,0,13
14,3,1,10
14,3,2,4
14,3,3,14
14,3,4,14
14,4,0,13
14,4,1,10
14,4,2,4
14,4,3,14
14,4,4,14
15,0,0,15
15,0,1,15
15,0,2,15
15,0,3,15
15,0,4,0
15,1,0,15
15,1,1,15
15,1,2,15
15,1,3,15
15,1,4,0
15,2,0,15
15,2,1,15
15,2,2,15
15,2,3,15
15,2,4,0
15,3,0,15
15,3,1,15
15,3,2,15
15,3,3,15
15,3,4,0
15,4,0,16
15,4,1,18
15,4,2,25
15,4,3,5
15,4,4,15
16,0,0,16
16,0,1,19
16,0,2,26
16,0,3,6
16,0,4,16
16,1,0,15
16,1,1,16
16,1,2,16
16,1,3,16
16,1,4,1
16,2,0,15
16,2,1,16
16,2,2,16
16,2,3,16
16,2,4,1
16,3,0,15
16,3,1,16
16,3,2,16
16,3,3,16
16,3,4,1
16,4,0,16
16,4,1,19
16,4,2,26
16,4,3,6
16,4,4,16
17,0,0,17
17,0,1,21
17,0,2,39
17,0,3,36
17,0,4,16
17,1,0,15
17,1,1,17
17,1,2,17
17,1,3,17
17,1,4,1
17,2,0,15
17,2,1,17
17,2,2,17
17,2,3,17
17,2,4,1
17,3,0,15
17,3,1,17
17,3,2,17
17,3,3,17
17,3,4,1
17,4,0,16
17,4,1,20
17,4,2,27
17,4,3,7
17,4,4,17
18,0,0,18
18,0,1,15
18,0,2,18
18,0,3,18
18,0,4,3
18,1,0,19
18,1,1,18
18,1,2,28
18,1,3,8
18,1,4,18
18,2,0,18
18,2,1,15
18,2,2,18
18,2,3,18
18,2,4,3
18,3,0,18
18,3,1,15
18,3,2,18
18,3,3,18
18,3,4,3
18,4,0,19
18,4,1,18
18,4,2,28
18,4,3,8
18,4,4,18
19,0,0,19
19,0,1,19
19,0,2,29
19,0,3,9
19,0,4,19
19,1,0,19
19,1,1,19
19,1,2,29
19,1,3,9
19,1,4,19
19,2,0,18
19,2,1,16
19,2,2,19
19,2,3,19
19,2,4,2
19,3,0,18
19,3,1,16
19,3,2,19
19,3,3,19
19,3,4,2
19,4,0,19
19,4,1,19
19,4,2,29
19,4,3,9
19,4,4,19
20,0,0,20
20,0,1,21
20,0,2,43
20,0,3,44
20,0,4,23
20,1,0,19
20,1,1,20
20,1,2,30
20,1,3,10
20,1,4,20
20,2,0,18
20,2,1,17
20,2,2,20
20,2,3,20
20,2,4,4
20,3,0,18
20,3,1,17
20,3,2,20
20,3,3,20
20,3,4,4
20,4,0,19
20,4,1,20
20,4,2,30
20,4,3,10
20,4,4,20
21,0,0,21
21,0,1,21
21,0,2,35
21,0,3,40
21,0,4,19
21,1,0,21
21,1,1,21
21,1,2,35
21,1,3,40
21,1,4,19
21,2,0,22
21,2,1,17
21,2,2,21
21,2,3,21
21,2,4,2
21,3,0,22
21,3,1,17
21,3,2,21
21,3,3,21
21,3,4,2
21,4,0,23
21,4,1,20
21,4,2,31
21,4,3,11
21,4,4,21
22,0,0,22
22,0,1,15
22,0,2,22
22,0,3,22
22,0,4,3
22,1,0,21
22,1,1,22
22,1,2,36
22,1,3,39
22,1,4,18
22,2,0,22
22,2,1,15
22,2,2,22
22,2,3,22
22,2,4,3
22,3,0,22
22,3,1,15
22,3,2,22
22,3,3,22
22,3,4,3
22,4,0,23
22,4,1,18
22,4,2,32
22,4,3,12
22,4,4,22
23,0,0,23
23,0,1,19
23,0,2,33
23,0,3,13
23,0,4,23
23,1,0,21
23,1,1,23
23,1,2,37
23,1,3,41
23,1,4,20
23,2,0,22
23,2,1,16
23,2,2,23
23,2,3,23
23,2,4,4
23,3,0,22
23,3,1,16
23,3,2,23
23,3,3,23
23,3,4,4
23,4,0,23
23,4,1,19
23,4,2,33
23,4,3,13
23,4,4,23
24,0,0,24
24,0,1,21
24,0,2,48
24,0,3,49
24,0,4,23
24,1,0,21
24,1,1,24
24,1,2,38
24,1,3,42
24,1,4,20
24,2,0,22
24,2,1,17
24,2,2,24
24,2,3,24
24,2,4,4
24,3,0,22
24,3,1,17
24,3,2,24
24,3,3,24
24,3,4,4
24,4,0,23
24,4,1,20
24,4,2,34
24,4,3,14
24,4,4,24
25,0,0,25
25,0,1,25
25,0,2,15
25,0,3,25
25,0,4,9
25,1,0,25
25,1,1,25
25,1,2,15
25,1,3,25
25,1,4,9
25,2,0,26
25,2,1,28
25,2,2,25
25,2,3,2
25,2,4,25
25,3,0,25
25,3,1,25
25,3,2,15
25,3,3,25
25,3,4,9
25,4,0,26
25,4,1,28
25,4,2,25
25,4,3,2
25,4,4,25
26,0,0,26
26,0,1,29
26,0,2,26
26,0,3,3
26,0,4,26
26,1,0,25
26,1,1,26
26,1,2,16
26,1,3,26
26,1,4,8
26,2,0,26
26,2,1,29
26,2,2,26
26,2,3,3
26,2,4,26
26,3,0,25
26,3,1,26
26,3,2,16
26,3,3,26
26,3,4,8
26,4,0,26
26,4,1,29
26,4,2,26
26,4,3,3
26,4,4,26
27,0,0,27
27,0,1,31
27,0,2,39
27,0,3,32
27,0,4,41
27,1,0,25
27,1,1,27
27,1,2,17
27,1,3,27
27,1,4,10
27,2,0,26
27,2,1,30
27,2,2,27
27,2,3,4
27,2,4,27
27,3,0,25
27,3,1,27
27,3,2,17
27,3,3,27
27,3,4,10
27,4,0,26
27,4,1,30
27,4,2,27
27,4,3,4
27,4,4,27
28,0,0,28
28,0,1,25
28,0,2,18
28,0,3,28
28,0,4,6
28,1,0,29
28,1,1,28
28,1,2,28
28,1,3,1
28,1,4,28
28,2,0,29
28,2,1,28
28,2,2,28
28,2,3,1
28,2,4,28
28,3,0,28
28,3,1,25
28,3,2,18
28,3,3,28
28,3,4,6
28,4,0,29
28,4,1,28
28,4,2,28
28,4,3,1
28,4,4,28
29,0,0,29
29,0,1,29
29,0,2,29
29,0,3,0
29,0,4,29
29,1,0,29
29,1,1,29
29,1,2,29
29,1,3,0
29,1,4,29
29,2,0,29
29,2,1,29
29,2,2,29
29,2,3,0
29,2,4,29
29,3,0,28
29,3,1,26
29,3,2,19
29,3,3,29
29,3,4,5
29,4,0,29
29,4,1,29
29,4,2,29
29,4,3,0
29,4,4,29
30,0,0,30
30,0,1,31
30,0,2,43
30,0,3,28
30,0,4,37
30,1,0,29
30,1,1,30
30,1,2,30
30,1,3,1
30,1,4,30
30,2,0,29
30,2,1,30
30,2,2,30
30,2,3,1
30,2,4,30
30,3,0,28
30,3,1,27
30,3,2,20
30,3,3,30
30,3,4,7
30,4,0,29
30,4,1,30
30,4,2,30
30,4,3,1
30,4,4,30
31,0,0,31
31,0,1,31
31,0,2,35
31,0,3,25
31,0,4,45
31,1,0,31
31,1,1,31
31,1,2,35
31,1,3,25
31,1,4,45
31,2,0,33
31,2,1,30
31,2,2,31
31,2,3,2
31,2,4,31
31,3,0,32
31,3,1,27
31,3,2,21
31,3,3,31
31,3,4,11
31,4,0,33
31,4,1,30
31,4,2,31
31,4,3,2
31,4,4,31
32,0,0,32
32,0,1,25
32,0,2,22
32,0,3,32
32,0,4,13
32,1,0,31
32,1,1,32
32,1,2,36
32,1,3,27
32,1,4,44
32,2,0,33
32,2,1,28
32,2,2,32
32,2,3,4
32,2,4,32
32,3,0,32
32,3,1,25
32,3,2,22
32,3,3,32
32,3,4,13
32,4,0,33
32,4,1,28
32,4,2,32
32,4,3,4
32,4,4,32
33,0,0,33
33,0,1,29
33,0,2,33
33,0,3,3
33,0,4,33
33,1,0,31
33,1,1,33
33,1,2,37
33,1,3,26
33,1,4,43
33,2,0,33
33,2,1,29
33,2,2,33
33,2,3,3
33,2,4,33
33,3,0,32
33,3,1,26
33,3,2,23
33,3,3,33
33,3,4,12
33,4,0,33
33,4,1,29
33,4,2,33
33,4,3,3
33,4,4,33
34,0,0,34
34,0,1,31
34,0,2,48
34,0,3,32
34,0,4,50
34,1,0,31
34,1,1,34
34,1,2,38
34,1,3,27
34,1,4,46
34,2,0,33
34,2,1,30
34,2,2,34
34,2,3,4
34,2,4,34
34,3,0,32
34,3,1,27
34,3,2,24
34,3,3,34
34,3,4,14
34,4,0,33
34,4,1,30
34,4,2,34
34,4,3,4
34,4,4,34
35,0,0,35
35,0,1,35
35,0,2,35
35,0,3,15
35,0,4,29
35,1,0,35
35,1,1,35
35,1,2,35
35,1,3,15
35,1,4,29
35,2,0,35
35,2,1,35
35,2,2,35
35,2,3,15
35,2,4,29
35,3,0,36
35,3,1,39
35,3,2,21
35,3,3,35
35,3,4,5
35,4,0,37
35,4,1,43
35,4,2,31
35,4,3,5
35,4,4,35
36,0,0,36
36,0,1,40
36,0,2,22
36,0,3,36
36,0,4,6
36,1,0,35
36,1,1,36
36,1,2,36
36,1,3,17
36,1,4,28
36,2,0,35
36,2,1,36
36,2,2,36
36,2,3,17
36,2,4,28
36,3,0,36
36,3,1,40
36,3,2,22
36,3,3,36
36,3,4,6
36,4,0,37
36,4,1,44
36,4,2,32
36,4,3,7
36,4,4,36
37,0,0,37
37,0,1,45
37,0,2,33
37,0,3,6
37,0,4,37
37,1,0,35
37,1,1,37
37,1,2,37
37,1,3,16
37,1,4,30
37,2,0,35
37,2,1,37
37,2,2,37
37,2,3,16
37,2,4,30
37,3,0,36
37,3,1,41
37,3,2,23
37,3,3,37
37,3,4,7
37,4,0,37
37,4,1,45
37,4,2,33
37,4,3,6
37,4,4,37
38,0,0,38
38,0,1,47
38,0,2,48
38,0,3,36
38,0,4,37
