S_idx,u,v,T_idx
38,1,0,35
38,1,1,38
38,1,2,38
38,1,3,17
38,1,4,30
38,2,0,35
38,2,1,38
38,2,2,38
38,2,3,17
38,2,4,30
38,3,0,36
38,3,1,42
38,3,2,24
38,3,3,38
38,3,4,7
38,4,0,37
38,4,1,46
38,4,2,34
38,4,3,7
38,4,4,38
39,0,0,39
39,0,1,35
39,0,2,39
39,0,3,22
39,0,4,26
39,1,0,40
39,1,1,39
39,1,2,17
39,1,3,39
39,1,4,8
39,2,0,39
39,2,1,35
39,2,2,39
39,2,3,22
39,2,4,26
39,3,0,40
39,3,1,39
39,3,2,17
39,3,3,39
39,3,4,8
39,4,0,41
39,4,1,43
39,4,2,27
39,4,3,12
39,4,4,39
40,0,0,40
40,0,1,40
40,0,2,15
40,0,3,40
40,0,4,9
40,1,0,40
40,1,1,40
40,1,2,15
40,1,3,40
40,1,4,9
40,2,0,39
40,2,1,36
40,2,2,40
40,2,3,21
40,2,4,25
40,3,0,40
40,3,1,40
40,3,2,15
40,3,3,40
40,3,4,9
40,4,0,41
40,4,1,44
40,4,2,25
40,4,3,11
40,4,4,40
41,0,0,41
41,0,1,45
41,0,2,26
41,0,3,13
41,0,4,41
41,1,0,40
41,1,1,41
41,1,2,16
41,1,3,41
41,1,4,10
41,2,0,39
41,2,1,37
41,2,2,41
41,2,3,23
41,2,4,27
41,3,0,40
41,3,1,41
41,3,2,16
41,3,3,41
41,3,4,10
41,4,0,41
41,4,1,45
41,4,2,26
41,4,3,13
41,4,4,41
42,0,0,42
42,0,1,47
42,0,2,39
42,0,3,49
42,0,4,41
42,1,0,40
42,1,1,42
42,1,2,17
42,1,3,42
42,1,4,10
42,2,0,39
42,2,1,38
42,2,2,42
42,2,3,24
42,2,4,27
42,3,0,40
42,3,1,42
42,3,2,17
42,3,3,42
42,3,4,10
42,4,0,41
42,4,1,46
42,4,2,27
42,4,3,14
42,4,4,42
43,0,0,43
43,0,1,35
43,0,2,43
43,0,3,18
43,0,4,33
43,1,0,45
43,1,1,43
43,1,2,30
43,1,3,8
43,1,4,43
43,2,0,43
43,2,1,35
43,2,2,43
43,2,3,18
43,2,4,33
43,3,0,44
43,3,1,39
43,3,2,20
43,3,3,43
43,3,4,12
43,4,0,45
43,4,1,43
43,4,2,30
43,4,3,8
43,4,4,43
44,0,0,44
44,0,1,40
44,0,2,18
44,0,3,44
44,0,4,13
44,1,0,45
44,1,1,44
44,1,2,28
44,1,3,10
44,1,4,44
44,2,0,43
44,2,1,36
44,2,2,44
44,2,3,20
44,2,4,32
44,3,0,44
44,3,1,40
44,3,2,18
44,3,3,44
44,3,4,13
44,4,0,45
44,4,1,44
44,4,2,28
44,4,3,10
44,4,4,44
45,0,0,45
45,0,1,45
45,0,2,29
45,0,3,9
45,0,4,45
45,1,0,45
45,1,1,45
45,1,2,29
45,1,3,9
45,1,4,45
45,2,0,43
45,2,1,37
45,2,2,45
45,2,3,19
45,2,4,31
45,3,0,44
45,3,1,41
45,3,2,19
45,3,3,45
45,3,4,11
45,4,0,45
45,4,1,45
45,4,2,29
45,4,3,9
45,4,4,45
46,0,0,46
46,0,1,47
46,0,2,43
46,0,3,44
46,0,4,50
46,1,0,45
46,1,1,46
46,1,2,30
46,1,3,10
46,1,4,46
46,2,0,43
46,2,1,38
46,2,2,46
46,2,3,20
46,2,4,34
46,3,0,44
46,3,1,42
46,3,2,20
46,3,3,46
46,3,4,14
46,4,0,45
46,4,1,46
46,4,2,30
46,4,3,10
46,4,4,46
47,0,0,47
47,0,1,47
47,0,2,35
47,0,3,40
47,0,4,45
47,1,0,47
47,1,1,47
47,1,2,35
47,1,3,40
47,1,4,45
47,2,0,48
47,2,1,38
47,2,2,47
47,2,3,21
47,2,4,31
47,3,0,49
47,3,1,42
47,3,2,21
47,3,3,47
47,3,4,11
47,4,0,50
47,4,1,46
47,4,2,31
47,4,3,11
47,4,4,47
48,0,0,48
48,0,1,35
48,0,2,48
48,0,3,22
48,0,4,33
48,1,0,47
48,1,1,48
48,1,2,38
48,1,3,39
48,1,4,43
48,2,0,48
48,2,1,35
48,2,2,48
48,2,3,22
48,2,4,33
48,3,0,49
48,3,1,39
48,3,2,24
48,3,3,48
48,3,4,12
48,4,0,50
48,4,1,43
48,4,2,34
48,4,3,12
48,4,4,48
49,0,0,49
49,0,1,40
49,0,2,22
49,0,3,49
49,0,4,13
49,1,0,47
49,1,1,49
49,1,2,36
49,1,3,42
49,1,4,44
49,2,0,48
49,2,1,36
49,2,2,49
49,2,3,24
49,2,4,32
49,3,0,49
49,3,1,40
49,3,2,22
49,3,3,49
49,3,4,13
49,4,0,50
49,4,1,44
49,4,2,32
49,4,3,14
49,4,4,49
50,0,0,50
50,0,1,45
50,0,2,33
50,0,3,13
50,0,4,50
50,1,0,47
50,1,1,50
50,1,2,37
50,1,3,41
50,1,4,46
50,2,0,48
50,2,1,37
50,2,2,50
50,2,3,23
50,2,4,34
50,3,0,49
50,3,1,41
50,3,2,23
50,3,3,50
50,3,4,14
50,4,0,50
50,4,1,45
50,4,2,33
50,4,3,13
50,4,4,50
51,0,0,51
51,0,1,47
51,0,2,48
51,0,3,49
51,0,4,50
51,1,0,47
51,1,1,51
51,1,2,38
51,1,3,42
51,1,4,46
51,2,0,48
51,2,1,38
51,2,2,51
51,2,3,24
51,2,4,34
51,3,0,49
51,3,1,42
51,3,2,24
51,3,3,51
51,3,4,14
51,4,0,50
51,4,1,46
51,4,2,34
51,4,3,14
51,4,4,51
